Дата отправления;Объем кузова;Станция отправления;Станция назначения;Наименование груза;Станция отправления код;Станция назн. код;Ставка с Заказчиком б/ндс, руб;Отправки УТК, в/о;Длительность
03.10.2022;138;Ефремов;Круглое Поле;Крахмал, не поименованный в алфавите;22530;64840;60000,00;1;
03.10.2022;150;Бронная Гора;Персиановка;Прочие грузы, не поименованные в алфавите;13400;51320;165000,00;1;
03.10.2022;138;Уманская;Йошкар-Ола;Сахар-песок;51680;25240;40000,00;1;
03.10.2022;138;Красный Гуляй;Калище;Песок кварцевый, кроме строительного;64460;07480;83333,33;1;
03.10.2022;138;Темиртау;Соликамск;Кальция карбид;67430;76960;50000,00;1;
03.10.2022;157,2;Талдыкорган;Костанай;Аккумуляторы и батареи аккумуляторные электрические;70180;68400;54500,00;1;
03.10.2022;138;Шу;Абакан;Лук репчатый и сеянец;70460;88800;90000,00;1;
03.10.2022;138;Шу;Абакан;Лук репчатый и сеянец;70460;88800;90000,00;1;
03.10.2022;138;Арал Тенизи;Калуга I;Концентрат минеральный "Галит";67030;18820;25000,00;1;
03.10.2022;138;Георгиевск;Томицы;Мука пшеничная 2 сорта;53630;01030;66000,00;1;
03.10.2022;122;Петропавловск;Галаба (эксп.);Мука пшеничная 1 сорта;82000;73640;105000,00;1;
03.10.2022;120;Петропавловск;Галаба (эксп.);Мука пшеничная 1 сорта;82000;73640;105000,00;1;
03.10.2022;122;Петропавловск;Галаба (эксп.);Мука пшеничная 1 сорта;82000;73640;105000,00;1;
03.10.2022;138;Достык;Анисовка;Паста и пюре томатные;70840;62550;55000,00;1;
03.10.2022;138;Шу;Иркутск-Сортировочный;Лук репчатый и сеянец;70460;93000;120000,00;1;
03.10.2022;138;Колпны;Яшкино;Сахар-песок;20890;87320;90000,00;1;
03.10.2022;138;Колодищи;Ашгабат;Масла растительные, пищевые, не поименованные в алфавите;14080;75280;170000,00;1;
03.10.2022;150;Батайск;Бурундай;Сборная повагонная отправка;51000;70390;75000,00;1;
03.10.2022;138;Мосты;Бишкек I;Плиты древесноволокнистые;13720;71660;140000,00;1;
03.10.2022;138;Шу;Благовещенск;Лук репчатый и сеянец;70460;95470;170000,00;1;
03.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
03.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
03.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
03.10.2022;138;Шу;Южно-Сахалинск-Грузовой;Лук репчатый и сеянец;70460;99110;270000,00;1;
03.10.2022;138;Шу;Уссурийск;Лук репчатый и сеянец;70460;98830;230000,00;1;
03.10.2022;138;Шу;Уссурийск;Лук репчатый и сеянец;70460;98830;230000,00;1;
03.10.2022;138;Шу;Уссурийск;Лук репчатый и сеянец;70460;98830;230000,00;1;
04.10.2022;138;Речная;Ежевая;Порошок магнезитовый металлургический;80670;77090;81409,14;1;
04.10.2022;161;Гатово;Кутузово-Новое;Материалы строительные, кроме железобетонных, не поименованные в алфавите;14510;10430;92000,00;1;
04.10.2022;157,2;Гатово;Кутузово-Новое;Материалы строительные, кроме железобетонных, не поименованные в алфавите;14510;10430;92000,00;1;
04.10.2022;138;Заинск;Богданович;Сахар-песок;64810;79320;62500,00;1;
04.10.2022;158;Межег;Кострома Новая;Фанера клееная;28200;30510;77500,00;1;
04.10.2022;138;Красный Гуляй;Каменская;Песок кварцевый, кроме строительного;64460;58720;73333,33;1;
04.10.2022;150;Сергели;Караганды;Бутылки стеклянные емкостью 0, 5 л;72350;67390;11000,00;1;
04.10.2022;138;Илецк I;Мальчики;Соль пищевая молотая;66690;19440;38982,50;1;
04.10.2022;150;Старый Оскол;Симферополь;Мука пшеничная высшего сорта;43850;85690;112500,00;1;
04.10.2022;138;Старый Оскол;Симферополь;Мука пшеничная высшего сорта;43850;85690;105000,00;1;
04.10.2022;138;Бронная Гора;Персиановка;Прочие грузы, не поименованные в алфавите;13400;51320;165000,00;1;
04.10.2022;138;Полевской;Егорьевск I;Смеси сухие строительные на основе смешанных вяжущих с массовой долей полимерной составляющей до 5% массы смеси и с минеральными заполнителями, кроме смесей с огнеупорными или пористыми заполнителями;78130;23340;40333,33;1;
04.10.2022;150;Шакша;Сибирская;Плиты древесностружечные;65530;85040;83333,33;1;
04.10.2022;138;Темиртау;Соликамск;Кальция карбид;67430;76960;50000,00;1;
04.10.2022;138;Черкесск;Уршак (рзд);Воды минеральные, натуральные и искусственные;53100;65180;31166,67;1;
04.10.2022;158;Маарду (эксп. через порт Мууга);Тольятти;Масла растительные, пищевые, не поименованные в алфавите;08220;63730;72304,08;1;
04.10.2022;138;Речная;Фрезерный;Порошок магнезитовый металлургический;80670;03380;106805,86;1;
04.10.2022;138;Тимашевская;Шершни;Сахар-песок;51620;80020;47699,05;1;
04.10.2022;138;Тимашевская;Шершни;Сахар-песок;51620;80020;47687,99;1;
04.10.2022;138;Брест-Центральный (эксп.);Ревда;Изделия кислотоупорные и огнеупорные, не поименованные в алфавите;13060;78140;98000,00;1;
04.10.2022;138;Черкесск;Кольцово;Воды минеральные, натуральные и искусственные;53100;79430;41250,00;1;
04.10.2022;138;Черкесск;Кольцово;Воды минеральные, натуральные и искусственные;53100;79430;41250,00;1;
04.10.2022;138;Котел;Лабытнанги;Смеси сухие строительные на основе минеральных вяжущих с минеральными заполнителями, кроме смесей с огнеупорными или пористыми заполнителями;43860;28990;114166,67;1;
04.10.2022;138;Койты;Скачки;Плиты древесностружечные;28410;53220;68333,33;1;
04.10.2022;122;Мамлютка;Термез-Порт (эксп.);Мука пшеничная 1 сорта;82620;73520;105000,00;1;
04.10.2022;122;Мамлютка;Термез-Порт (эксп.);Мука пшеничная 1 сорта;82620;73520;105000,00;1;
04.10.2022;122;Мамлютка;Термез-Порт (эксп.);Мука пшеничная 1 сорта;82620;73520;105000,00;1;
04.10.2022;122;Костанай;Галаба (эксп.);Мука пшеничная, не поименованная в алфавите;68400;73640;105000,00;1;
04.10.2022;122;Костанай;Галаба (эксп.);Мука пшеничная, не поименованная в алфавите;68400;73640;105000,00;1;
04.10.2022;158;Батайск;Шымкент;Сборная повагонная отправка;51000;69860;75000,00;1;
04.10.2022;138;Ефремов;Чемской;Заменитель молочного жира;22530;85030;80000,00;1;
04.10.2022;138;Шу;Иркутск-Сортировочный;Лук репчатый и сеянец;70460;93000;120000,00;1;
04.10.2022;138;Кая;Куеда;Мука соевая;93280;25800;35253,33;1;
04.10.2022;138;Ивацевичи;Назарбек;Плиты древесностружечные;13420;72220;150000,00;1;
04.10.2022;157,2;Талдыкорган;Ростов-Западный;Аккумуляторы и батареи аккумуляторные электрические;70180;51040;75000,00;1;
04.10.2022;150;Новокузнецк-Восточный;Балканабат;Мука пшеничная, не поименованная в алфавите;86020;75400;145000,00;1;
04.10.2022;138;Ачинск II;Хабаровск II;Мука пшеничная 2 сорта;88380;97000;110000,00;1;
03.10.2022;150;Кутаиси II;Алматы 2;Воды минеральные, натуральные и искусственные;57480;70010;66278,74;1;
04.10.2022;138;Мосты;Бишкек I;Плиты древесноволокнистые;13720;71660;140000,00;1;
04.10.2022;138;Шу;Чита I;Лук репчатый и сеянец;70460;94000;150000,00;1;
04.10.2022;138;Шу;Чита I;Лук репчатый и сеянец;70460;94000;145000,00;1;
04.10.2022;138;Шу;Чита I;Лук репчатый и сеянец;70460;94000;145000,00;1;
04.10.2022;138;Шу;Чита I;Лук репчатый и сеянец;70460;94000;145000,00;1;
04.10.2022;138;Орехово-Зуево;Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее);Тара стеклянная новая, не поименованная в алфавите;23000;93710;135000,00;1;
04.10.2022;138;Орехово-Зуево;Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее);Тара стеклянная новая, не поименованная в алфавите;23000;93710;135000,00;1;
04.10.2022;150;Алейская;Уссурийск;Мука пшеничная, не поименованная в алфавите;84430;98830;162500,00;1;
04.10.2022;138;Шу;Благовещенск;Лук репчатый и сеянец;70460;95470;165000,00;1;
04.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
04.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
04.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
04.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
04.10.2022;138;Ростов-Товарный;Михайло-Чесноковская;Кирпич строительный, не поименованный в алфавите;51010;95370;129166,67;1;
04.10.2022;138;Усть-Лабинская;Биробиджан I;Сахар-песок;52580;96280;155526,28;1;
04.10.2022;138;Усть-Лабинская;Хабаровск II;Сахар-песок;52580;97000;158887,04;1;
04.10.2022;150;Жинишке;Маарду (эксп. через порт Мууга);Хрома (VI) оксид (ангидрид хромовый, триоксид хрома) безводный;66780;08220;77272,17;1;
